year,month,height,weight,prize_money,dominant_hand,backhand,forehand
1989,9,1.72,,417405.0,right,double,
1989,2,,,23555.0,right,double,
1978,2,1.82,88000.0,251884.0,right,,
1986,9,1.88,,370785.0,right,single,
1965,10,1.73,73000.0,2412691.0,right,single,
1989,5,1.86,,146419.0,,,
1993,9,1.91,,34664.0,right,double,
1972,9,1.75,,3460799.0,right,double,
1979,7,1.75,69000.0,1.5022476E7,right,single,
1994,3,1.7,,296060.0,,,
1992,11,1.7,,112963.0,right,double,
1989,6,1.63,,96178.0,,,
1987,11,1.84,,1.515561E7,right,double,
1984,12,,,92619.0,right,double,
1997,12,1.74,,582998.0,,,
1988,7,,,4497.0,right,,
1989,10,,,66936.0,,,
1994,4,1.62,,69175.0,,,
1982,12,,,110561.0,right,double,
1988,2,1.73,,49493.0,,,
1984,8,,,222610.0,right,single,
1982,7,1.69,,5830248.0,right,double,
1952,3,1.85,,332133.0,right,single,
1994,6,,,18261.0,right,double,
1990,7,,,141827.0,right,double,
1989,12,,,106180.0,left,double,
1981,7,1.74,59000.0,5606725.0,right,double,
1991,7,1.77,,5582678.0,right,double,
1990,6,1.82,,378134.0,right,double,
1988,4,1.66,,53096.0,right,double,
1982,5,1.67,59100.0,3139356.0,right,double,
1994,4,,,19938.0,,,
1990,4,1.69,,880430.0,right,double,
1997,7,,,25956.0,left,double,
1993,3,1.79,,9857.0,,,
1992,1,1.82,,178627.0,left,double,
1986,11,1.65,,1071318.0,right,double,
1985,4,1.69,,129080.0,right,single,
1977,5,1.75,,746387.0,left,double,
1980,7,1.7,,137172.0,right,double,
1961,7,1.8,70000.0,5378067.0,right,double,
1985,5,,,177277.0,right,double,
1970,4,1.524,,3.1152975E7,right,double,
1984,7,,,584148.0,right,,
1987,12,1.75,,413829.0,left,single,
1986,5,,,85674.0,right,,
1992,1,,,109908.0,left,double,
1973,7,1.83,,3063479.0,right,double,
1992,10,1.62,,85782.0,right,double,
1986,8,1.74,,3270633.0,,,
1968,1,,,145767.0,,,
1965,6,1.6764000000000001,,1379065.0,right,double,
1985,4,1.74,,112829.0,right,double,double
1987,9,1.8,,5779256.0,right,double,
1980,2,,,289443.0,right,double,
1972,5,1.75,,504157.0,,,
1966,4,1.82,,1162635.0,right,double,
1986,2,1.91,,1507086.0,left,double,
1987,3,1.9,,1622559.0,right,double,
1958,3,1.75,,391562.0,right,single,
1984,2,1.91,,7558621.0,right,double,
1981,7,2.06,,239351.0,right,,
1981,2,1.8,,1371733.0,left,double,
1973,10,1.7,,421040.0,left,double,
1991,9,1.75,,602458.0,right,double,
1970,7,1.8,,2260051.0,right,,
1985,9,,,55180.0,right,,double
1988,8,,,16546.0,right,double,
1983,7,,,48213.0,,,
1971,6,1.83,,185632.0,left,,
1966,4,1.85,,3208620.0,right,double,
1974,1,1.82,,5123329.0,right,single,
1996,7,1.7,62000.0,942.0,right,single,
1977,1,1.77,,732336.0,right,,
1991,5,1.85,,57466.0,right,double,
1982,8,1.96,,24209.0,right,,
1989,9,1.8,72000.0,406256.0,right,double,
1986,3,1.75,,840575.0,right,double,
1966,3,1.8,,188934.0,right,,
1983,4,1.93,79000.0,54889.0,right,,
1963,11,1.905,76203.51816,344338.0,right,single,
1970,10,,,1113285.0,right,,
1972,3,1.9,80000.0,168329.0,right,,
1976,4,1.8,,1327838.0,right,single,
1975,7,,,80468.0,right,,
1974,3,,94802.4,246675.0,left,,
1967,5,1.75,73000.0,419995.0,right,,
1993,8,,,137057.0,right,double,
1987,7,1.85,,2526051.0,right,single,
1991,2,1.85,,1484853.0,right,double,
1997,10,1.88,,229679.0,right,double,
1989,8,,,81244.0,right,double,
