birth_date,height,weight,prize_money,dominant_hand,backhand,forehand
1989-09-28,1.72,,417405.0,right,double,
1989-02-22,,,23555.0,right,double,
1978-02-17,1.82,88000.0,251884.0,right,,
1986-09-16,1.88,,370785.0,right,single,
1965-10-20,1.73,73000.0,2412691.0,right,single,
1989-05-06,1.86,,146419.0,,,
1993-09-06,1.91,,34664.0,right,double,
1972-09-19,1.75,,3460799.0,right,double,
1979-07-05,1.75,69000.0,1.5022476E7,right,single,
1994-03-07,1.7,,296060.0,,,
1992-11-25,1.7,,112963.0,right,double,
1989-06-11,1.63,,96178.0,,,
1987-11-06,1.84,,1.515561E7,right,double,
1984-12-28,,,92619.0,right,double,
1997-12-27,1.74,,582998.0,,,
1988-07-25,,,4497.0,right,,
1989-10-09,,,66936.0,,,
1994-04-13,1.62,,69175.0,,,
1982-12-30,,,110561.0,right,double,
1988-02-22,1.73,,49493.0,,,
1984-08-01,,,222610.0,right,single,
1982-07-31,1.69,,5830248.0,right,double,
1952-03-20,1.85,,332133.0,right,single,
1994-06-21,,,18261.0,right,double,
1990-07-12,,,141827.0,right,double,
1989-12-12,,,106180.0,left,double,
1981-07-08,1.74,59000.0,5606725.0,right,double,
1991-07-03,1.77,,5582678.0,right,double,
1990-06-16,1.82,,378134.0,right,double,
1988-04-04,1.66,,53096.0,right,double,
1982-05-12,1.67,59100.0,3139356.0,right,double,
1994-04-20,,,19938.0,,,
1990-04-13,1.69,,880430.0,right,double,
1997-07-08,,,25956.0,left,double,
1993-03-12,1.79,,9857.0,,,
1992-01-18,1.82,,178627.0,left,double,
1986-11-01,1.65,,1071318.0,right,double,
1985-04-15,1.69,,129080.0,right,single,
1977-05-14,1.75,,746387.0,left,double,
1980-07-04,1.7,,137172.0,right,double,
1961-07-13,1.8,70000.0,5378067.0,right,double,
1985-05-22,,,177277.0,right,double,
1970-04-29,1.524,,3.1152975E7,right,double,
1984-07-12,,,584148.0,right,,
1987-12-27,1.75,,413829.0,left,single,
1986-05-10,,,85674.0,right,,
1992-01-31,,,109908.0,left,double,
1973-07-30,1.83,,3063479.0,right,double,
